,from,to,z-score,weight
0,ARAF,ERN1,0.18454256,0.18454256
1,ARAF,MAP4K5,0.1992415,0.1992415
2,ARAF,SRPK1,0.182704701,0.182704701
3,ARAF,CIT,0.783052335,0.783052335
4,ARAF,MAPK14,1.527390878,1.527390878
5,ARAF,CAMKK2,1.045136886,1.045136886
6,ARAF,TAOK3,1.036460663,1.036460663
7,ARAF,TTK,0.343641631,0.343641631
8,ARAF,MINK1,0.101091812,0.101091812
9,ARAF,PDGFRB,0.073996435,0.073996435
10,ARAF,RPS6KA2,0.6393486,0.6393486
11,ARAF,SRPK3,0.052217635,0.052217635
12,ARAF,YES1,0.020346602,0.020346602
13,ARAF,MAPK1_3,0.123237142,0.123237142
14,ARAF,KIT,0.074057676,0.074057676
15,ARAF,LATS1,0.485555851,0.485555851
16,ARAF,PHKG2,0.115347834,0.115347834
17,ARAF,PRKACA,0.147331219,0.147331219
18,ERN1,CIT,0.254901475,0.254901475
19,ERN1,TAOK3,0.44436849,0.44436849
20,ERN1,SRPK1,0.094758883,0.094758883
21,ERN1,CAMKK2,0.654204814,0.654204814
22,ERN1,MAPK14,1.657401895,1.657401895
23,ERN1,SRPK3,0.052217635,0.052217635
24,ERN1,RPS6KA2,0.511487298,0.511487298
25,ERN1,MINK1,0.09667824,0.09667824
26,ERN1,YES1,0.10962282,0.10962282
27,ERN1,PDGFRB,0.005882567,0.005882567
28,ERN1,ABL2,0.11974148,0.11974148
29,ERN1,CAMK2D,0.36066907,0.36066907
30,ERN1,CDK17,0.027908275,0.027908275
31,ERN1,KIT,0.065312731,0.065312731
32,ERN1,CAMK2G,0.027908275,0.027908275
33,ERN1,SIK2,0.252451879,0.252451879
34,CAMKK2,CIT,0.147156644,0.147156644
35,CAMKK2,TAOK3,0.157520606,0.157520606
36,CAMKK2,CDK9,0.257061798,0.257061798
37,CAMKK2,CAMK2D,0.420556419,0.420556419
38,CAMKK2,CDK4,0.529063728,0.529063728
39,CAMKK2,CSNK1E,0.351658561,0.351658561
40,CAMKK2,SRPK1,0.455242234,0.455242234
41,CAMKK2,MAP4K5,0.63633039,0.63633039
42,CAMKK2,PRKCI,0.383216624,0.383216624
43,CAMKK2,MAPK14,0.539864996,0.539864996
44,CAMKK2,PLK1,0.13584524,0.13584524
45,CAMKK2,MINK1,0.098841931,0.098841931
46,CAMKK2,YES1,0.437259481,0.437259481
47,CAMKK2,PDGFRB,0.212603455,0.212603455
48,CAMKK2,SRPK3,0.094346211,0.094346211
49,CAMKK2,MAP4K4,0.385626615,0.385626615
50,CAMKK2,PRKACA,0.199227887,0.199227887
51,CAMKK2,PAK3,0.694737778,0.694737778
52,CAMKK2,ABL2,0.433541981,0.433541981
53,CAMKK2,CDK17,0.027908275,0.027908275
54,CAMKK2,SIK2,0.252451879,0.252451879
55,CIT,TAOK3,0.156710726,0.156710726
56,CIT,CAMK2D,0.434620922,0.434620922
57,CIT,SRPK1,0.590200207,0.590200207
58,CIT,CDK4,0.529063728,0.529063728
59,CIT,MAP4K5,0.316682999,0.316682999
60,CIT,MINK1,0.093906591,0.093906591
61,CIT,MAPK14,0.515340333,0.515340333
62,CIT,PRKCI,0.35961013,0.35961013
63,CIT,RPS6KA2,0.231904797,0.231904797
64,CIT,SRPK3,0.31005824,0.31005824
65,CIT,PDGFRB,0.318752815,0.318752815
66,CIT,MAPK1_3,0.039784037,0.039784037
67,CIT,MAP4K4,0.24253254,0.24253254
68,CIT,YES1,0.073036305,0.073036305
69,CIT,PAK3,0.331186884,0.331186884
70,CIT,PRKACA,0.295192952,0.295192952
71,CIT,ROCK1_2,1.497139953,1.497139953
72,CIT,ABL2,0.468383188,0.468383188
73,TAOK3,CAMK2D,0.459189873,0.459189873
74,TAOK3,CDK4,0.529063728,0.529063728
75,TAOK3,CSNK1E,0.032247454,0.032247454
76,TAOK3,SRPK1,0.195651042,0.195651042
77,TAOK3,MAPK14,0.539864996,0.539864996
78,TAOK3,MAP4K5,0.578857054,0.578857054
79,TAOK3,PLK1,0.203242029,0.203242029
80,TAOK3,SRPK3,0.265033418,0.265033418
81,TAOK3,PDGFRB,0.212603455,0.212603455
82,TAOK3,PRKCI,0.466764906,0.466764906
83,TAOK3,MAP4K4,0.325913975,0.325913975
84,TAOK3,MINK1,0.220023836,0.220023836
85,TAOK3,PAK3,0.896902615,0.896902615
86,TAOK3,YES1,0.212319675,0.212319675
87,TAOK3,CAMK2G,0.170429731,0.170429731
88,TAOK3,PRKACA,0.17819484,0.17819484
89,TAOK3,ABL2,0.41617432,0.41617432
90,TAOK3,ROCK1_2,1.330688561,1.330688561
91,MAP4K5,MAPK14,0.264546076,0.264546076
92,MAP4K5,CSNK1E,0.323690508,0.323690508
93,MAP4K5,MAP3K1,0.196237806,0.196237806
94,MAP4K5,PDGFRB,0.264546076,0.264546076
95,MAP4K5,MAP4K4,0.319859716,0.319859716
96,MAP4K5,YES1,0.177683622,0.177683622
97,MAP4K5,KIT,0.539302379,0.539302379
98,MAP4K5,IRAK1,0.582550885,0.582550885
99,MAP4K5,MINK1,0.052484719,0.052484719
100,MAP4K5,TTK,0.640329467,0.640329467
101,MAP4K5,MAPK1_3,0.158442501,0.158442501
102,MAP4K5,RPS6KA2,0.459906427,0.459906427
103,MAP4K5,ROCK1_2,0.170722108,0.170722108
104,MAP4K5,CDK9,0.297446508,0.297446508
105,MAP4K5,PHKG2,0.297446508,0.297446508
106,MAPK14,PDGFRB,0.35843704,0.35843704
107,MAPK14,MAP3K1,0.267752812,0.267752812
108,MAPK14,CSNK1E,0.209873598,0.209873598
109,MAPK14,MAP4K4,0.261299989,0.261299989
110,MAPK14,YES1,0.319308171,0.319308171
111,MAPK14,KIT,0.65949128,0.65949128
112,MAPK14,SRPK1,1.27502055,1.27502055
113,MAPK14,TTK,0.287978428,0.287978428
114,MAPK14,MAPK1_3,1.148700481,1.148700481
115,MAPK14,MINK1,0.573560696,0.573560696
116,MAPK14,SRPK3,0.772229459,0.772229459
117,MAPK14,RPS6KA2,0.494733402,0.494733402
118,MAPK14,IRAK1,0.924737988,0.924737988
119,MAPK14,ROCK1_2,0.273942359,0.273942359
120,MAPK14,PRKACA,1.023089982,1.023089982
121,PDGFRB,CSNK1E,0.315982485,0.315982485
122,PDGFRB,MAP3K1,0.323274885,0.323274885
123,PDGFRB,YES1,0.312057085,0.312057085
124,PDGFRB,MAP4K4,0.312057085,0.312057085
125,PDGFRB,MAPK1_3,0.711144085,0.711144085
126,PDGFRB,KIT,0.642358708,0.642358708
127,PDGFRB,SRPK1,0.904936958,0.904936958
128,PDGFRB,RPS6KA2,0.356430393,0.356430393
129,PDGFRB,TTK,0.348410018,0.348410018
130,PDGFRB,MINK1,0.169969983,0.169969983
131,PDGFRB,ROCK1_2,0.084957726,0.084957726
132,CSNK1E,MAP3K1,0.18226588,0.18226588
133,CSNK1E,MAP4K4,0.315982485,0.315982485
134,CSNK1E,YES1,0.323274885,0.323274885
135,CSNK1E,KIT,0.539302379,0.539302379
136,CSNK1E,SRPK1,0.027676162,0.027676162
137,CSNK1E,MAPK1_3,0.076754018,0.076754018
138,CSNK1E,CDK4,0.224921571,0.224921571
139,CSNK1E,RPS6KA2,0.07850648,0.07850648
140,CSNK1E,MINK1,0.131658182,0.131658182
141,CSNK1E,ROCK1_2,0.083504526,0.083504526
142,CSNK1E,MELK,0.063290765,0.063290765
143,MAP3K1,MAP4K4,0.323690508,0.323690508
144,MAP3K1,YES1,0.257483499,0.257483499
145,MAP3K1,KIT,0.59876151,0.59876151
146,MAP3K1,SRPK1,0.109733367,0.109733367
147,MAP3K1,RPS6KA2,0.322385193,0.322385193
148,MAP3K1,MINK1,0.238959096,0.238959096
149,MAP3K1,MAPK1_3,0.547481001,0.547481001
150,MAP3K1,ROCK1_2,0.084957726,0.084957726
151,MAP3K1,ABL2,0.13197861,0.13197861
152,MAP3K1,SRPK3,0.296983121,0.296983121
153,MAP3K1,CAMK2G,0.252451879,0.252451879
154,MAP3K1,CDK17,0.353985545,0.353985545
155,MAP3K1,MELK,0.353985545,0.353985545
156,MAP4K4,YES1,0.323274885,0.323274885
157,MAP4K4,KIT,0.582791658,0.582791658
158,MAP4K4,RPS6KA2,0.043272914,0.043272914
159,MAP4K4,MINK1,0.221766047,0.221766047
160,MAP4K4,ROCK1_2,0.086205611,0.086205611
161,MAP4K4,TTK,0.348410018,0.348410018
162,MAP4K4,MAPK1_3,0.360609716,0.360609716
163,MAP4K4,CAMK2G,0.252451879,0.252451879
164,MAP4K4,ABL2,0.252451879,0.252451879
165,MAP4K4,CDK17,0.252451879,0.252451879
166,MAP4K4,SIK2,0.252451879,0.252451879
167,MAP4K4,MELK,0.252451879,0.252451879
168,YES1,KIT,0.582791658,0.582791658
169,YES1,RPS6KA2,0.082815386,0.082815386
170,YES1,ABL2,0.13197861,0.13197861
171,YES1,IRAK1,0.212319675,0.212319675
172,YES1,MINK1,0.221766047,0.221766047
173,YES1,ROCK1_2,0.083504526,0.083504526
174,YES1,PHKG2,0.14494616,0.14494616
175,YES1,MAPK1_3,0.569472557,0.569472557
176,YES1,MELK,0.252451879,0.252451879
177,YES1,CAMK2G,0.353985545,0.353985545
178,YES1,CDK17,0.252451879,0.252451879
179,YES1,CDK9,0.252451879,0.252451879
180,MAPK1_3,SRPK1,0.973133568,0.973133568
181,MAPK1_3,PAK3,0.005583269,0.005583269
182,MAPK1_3,PLK1,0.779964208,0.779964208
183,MAPK1_3,RPS6KA2,0.277955591,0.277955591
184,MAPK1_3,SRPK3,0.522465597,0.522465597
185,MAPK1_3,MINK1,0.669374751,0.669374751
186,MINK1,SRPK1,0.063712551,0.063712551
187,MINK1,PLK1,0.073672425,0.073672425
188,MINK1,PRKCI,0.178298765,0.178298765
189,MINK1,IRAK1,0.299022454,0.299022454
190,MINK1,CAMK2G,0.160864067,0.160864067
191,MINK1,ABL2,0.252451879,0.252451879
