,from,to,z-score,weight
113,PAK3,PIK3CB,-0.015968101999999998,0.15968101999999998
114,PAK3,TNK2,-0.29644651899999996,2.9644651899999994
115,AKT1_2,PIK3CB,-2.0992355480000002,20.99235548
116,AKT1_2,PLK1,-0.8419033020000001,8.41903302
117,CSNK1E,PIK3CB,-0.406707718,4.06707718
118,LATS1,PAK3,-0.770265529,7.70265529
119,MAPKAPK2,PLK1,-0.26247977699999997,2.62479777
120,MINK1,MTOR,-1.800931453,18.00931453
121,ABL1,PLK1,-0.22644389199999998,2.26443892
122,ABL1,PRKCI,-0.7352590459999999,7.352590459999999
123,AKT1_2,CDK2,-0.675332429,6.75332429
124,AKT1_2,MAP3K1,-1.1126193009999998,11.126193009999998
125,AKT1_2,MINK1,-3.536340858,35.36340858
126,AKT1_2,RPS6KB1,-1.538750122,15.387501219999999
127,LIMK1_2,MAP3K1,-0.7352590459999999,7.352590459999999
128,LIMK1_2,MAPK14,-0.078037316,0.7803731599999999
129,LIMK1_2,PLK1,-1.031837361,10.31837361
130,MAP4K5,MAPKAPK2,-2.015109186,20.15109186
131,MINK1,PRKACA,-0.288378823,2.88378823
132,PAK3,PRKACA,-1.1126193009999998,11.126193009999998
133,ABL1,MAPK14,-0.078037316,0.7803731599999999
134,CDK2,TTK,-0.141072919,1.4107291899999999
135,LATS1,MTOR,-2.575777247,25.75777247
136,LATS1,PAK1,-0.566026414,5.66026414
137,LATS1,PLK1,-1.280914834,12.80914834
138,LATS1,TTK,-1.280914834,12.80914834
139,LIMK1_2,PRKCI,-0.7352590459999999,7.352590459999999
140,MTOR,PIK3CB,-2.355067793,23.55067793
141,CIT,MAPKAPK2,-0.200543138,2.00543138
142,MTOR,PAK3,-1.669731076,16.69731076
143,LATS1,LIMK1_2,-1.280914834,12.80914834
144,MTOR,TNK2,-0.349659424,3.49659424
145,ABL1,PAK1,-0.7352590459999999,7.352590459999999
146,LIMK1_2,PRKACB,-1.280914834,12.80914834
147,MAP3K1,PRKACA,-1.1126193009999998,11.126193009999998
148,MTOR,PAK1,-1.191910719,11.91910719
149,MTOR,PRKACB,-1.280914834,12.80914834
150,PAK1,PIK3CB,-0.012368839,0.12368839
151,PIK3CB,PRKACA,-1.280914834,12.80914834
152,CIT,RPS6KB1,-1.800931453,18.00931453
