,from,to,weight
203,MTOR,PAK1,0
204,MTOR,PRKACB,0
205,PIK3CB,PRKACA,0
206,PAK1,PAK3,0
207,PIK3CA,TTK,0
208,PIK3CB,PLK1,0
209,LATS1,PRKCI,0
210,MINK1,RPS6KA2,0
211,MAP3K1,PLK1,0
212,MTOR,PIK3CA,0
213,PAK1,YES1,0
214,AKT1_2,PIK3CA,0
215,PDGFRB,PLK1,0
216,CSNK1E,PLK1,0
217,PLK1,TTK,0
218,PRKCI,YES1,0
219,MAP2K1,TNK2,0
220,CSNK1E,PRKCI,0
221,PAK3,PLK1,0
222,CSNK1E,PAK3,0
223,MTOR,TTK,0
224,PIK3CA,PLK1,0
225,AKT1_2,PRKACA,0
226,PLK1,PRKCI,0
227,PLK1,YES1,0
228,TNK2,YES1,0
229,AKT1_2,TTK,0
230,LATS1,PRKACA,0
231,PAK3,TTK,0
232,AKT1_2,MTOR,0
233,AKT1_2,TNK2,0
234,CSNK1E,PAK1,0
235,PLK1,RPS6KA2,0
236,AKT1_2,LATS1,0
237,MAP3K1,TNK2,0
238,CSNK1E,TNK2,0
239,MAP3K1,PAK1,0
240,MINK1,PLK1,0
241,MINK1,PIK3CA,0
242,PAK1,PLK1,0
243,PIK3CA,TNK2,0
244,MINK1,PRKCI,0
245,MINK1,TTK,0
246,PAK3,YES1,0
247,PIK3CA,RPS6KA2,0
248,AKT1_2,PRKCI,0
249,MINK1,PAK3,0
250,PRKACA,PRKACB,0
251,PIK3CA,PRKACA,0
252,PIK3CA,PRKCI,0
253,PRKCI,TTK,0
254,MTOR,PRKACA,0
255,PIK3CB,TTK,0
256,PRKACA,RPS6KA2,0
257,CSNK1E,PIK3CA,0
258,MAP3K1,PIK3CA,0
259,MINK1,PAK1,0
260,AKT1_2,PRKACB,0
261,AKT1_2,RPS6KA2,0
262,LATS1,PRKACB,0
263,MAP2K1,PIK3CA,0
264,PAK1,PRKACA,0
265,PRKACA,TNK2,0
266,PRKCI,TNK2,0
267,AKT1_2,CSNK1E,0
268,PAK3,PIK3CA,0
269,PAK3,RPS6KA2,0
270,PRKACA,TTK,0
271,AKT1_2,PAK3,0
272,CSNK1E,LATS1,0
273,LATS1,MAP3K1,0
274,LATS1,PDGFRB,0
275,LATS1,YES1,0
276,MAP2K1,PDGFRB,0
277,PAK3,PIK3CB,0
278,PAK3,TNK2,0
279,PRKACA,YES1,0
280,AKT1_2,PIK3CB,0
281,AKT1_2,PLK1,0
282,CSNK1E,PIK3CB,0
283,LATS1,PAK3,0
284,MINK1,MTOR,0
285,PAK1,RPS6KA2,0
286,PDGFRB,PIK3CA,0
287,AKT1_2,MAP3K1,0
288,AKT1_2,MINK1,0
289,AKT1_2,RPS6KB1,0
290,MAP2K1,MAP3K1,0
291,MINK1,PRKACA,0
292,PAK3,PRKACA,0
293,LATS1,MTOR,0
294,LATS1,PAK1,0
295,LATS1,PLK1,0
296,LATS1,TTK,0
297,MTOR,PIK3CB,0
298,MTOR,PAK3,0
299,MTOR,TNK2,0
300,MAP3K1,PRKACA,0
301,MTOR,PAK1,0
302,MTOR,PRKACB,0
303,PAK1,PIK3CB,0
304,PIK3CB,PRKACA,0
