,from,to,z-score,weight
112,MAP2K1,PIK3CA,-1.828260594,18.28260594
113,PAK1,PRKACA,-0.707967853,7.07967853
114,PRKACA,TNK2,-0.38061484100000004,3.8061484100000005
115,PRKCI,STK3,-0.31314255399999996,3.1314255399999995
116,PRKCI,TNK2,-0.656059622,6.56059622
117,AKT1_2,CSNK1E,-1.131571985,11.315719849999999
118,CIT,LATS1,-0.519561394,5.19561394
119,PAK3,PIK3CA,-1.8683540769999998,18.683540769999997
120,PRKACA,TTK,-1.041636787,10.41636787
121,RPS6KA2,STK3,-0.540740304,5.407403039999999
122,ABL1,CIT,-0.37989744799999997,3.7989744799999996
123,ABL1,CSNK1E,-0.6867395279999999,6.867395279999999
124,AKT1_2,MAPK14,-0.22460631600000003,2.2460631600000003
125,AKT1_2,PAK3,-1.627787986,16.27787986
126,CIT,MAP2K1,-0.461526899,4.61526899
127,CSNK1E,LATS1,-0.23602470399999997,2.36024704
128,LATS1,MAP3K1,-0.288335071,2.88335071
129,LATS1,PDGFRB,-0.221536564,2.21536564
130,LATS1,YES1,-0.288335071,2.88335071
131,MAP2K1,PDGFRB,-0.47050931100000004,4.70509311
132,PAK3,TNK2,-0.254386253,2.54386253
133,PRKACA,YES1,-0.92822155,9.2822155
134,AKT1_2,PIK3CB,-1.787434177,17.87434177
135,AKT1_2,PLK1,-0.8338148240000001,8.33814824
136,CSNK1E,PIK3CB,-0.144268368,1.44268368
137,LATS1,PAK3,-0.644070235,6.4407023500000005
138,MAPKAPK2,PLK1,-1.475136904,14.75136904
139,MINK1,MTOR,-1.945130482,19.45130482
140,PAK1,RPS6KA2,-0.91930709,9.1930709
141,PDGFRB,PIK3CA,-0.9333871290000001,9.333871290000001
142,ABL1,PLK1,-0.256785516,2.5678551599999997
143,ABL1,PRKCI,-0.9106786720000001,9.10678672
144,AKT1_2,MAP3K1,-1.3743810980000002,13.743810980000003
145,AKT1_2,MINK1,-3.651396473,36.51396473
146,AKT1_2,RPS6KB1,-2.377921848,23.77921848
147,LIMK1_2,MAP3K1,-0.9106786720000001,9.10678672
148,LIMK1_2,PLK1,-1.076474529,10.76474529
149,MAP2K1,MAP3K1,-0.484387368,4.84387368
150,MAP4K5,MAPKAPK2,-1.919373204,19.19373204
151,MINK1,PRKACA,-0.208570067,2.08570067
152,PAK1,PIK3CA,-1.510033779,15.100337790000001
153,PAK3,PRKACA,-1.131571985,11.315719849999999
154,PIK3CA,STK3,-0.801966792,8.01966792
155,ABL1,YES1,-1.201088212,12.01088212
156,CIT,STK3,-0.013358607,0.13358607
157,LATS1,MTOR,-3.292112664,32.92112664
158,LATS1,PAK1,-0.644070235,6.4407023500000005
159,LATS1,PLK1,-1.468138824,14.68138824
160,LATS1,TTK,-1.468138824,14.68138824
161,LIMK1_2,PRKCI,-0.9106786720000001,9.10678672
162,MTOR,PIK3CB,-1.627787986,16.27787986
163,CIT,MAPKAPK2,-0.338101786,3.38101786
164,MAP3K1,STK3,-0.49817544799999997,4.981754479999999
165,MTOR,PAK3,-1.909511505,19.09511505
166,PAK4,PIK3CA,-0.959555389,9.59555389
167,PLK1,STK3,-0.013358607,0.13358607
168,CIT,PAK4,-0.013358607,0.13358607
169,LATS1,LIMK1_2,-1.468138824,14.68138824
170,MTOR,TNK2,-0.959555389,9.59555389
171,ABL1,PAK1,-1.169667135,11.69667135
172,LIMK1_2,PRKACB,-1.468138824,14.68138824
173,MAP3K1,PAK4,-0.351287564,3.51287564
174,MAP3K1,PRKACA,-1.131571985,11.315719849999999
175,MTOR,PAK1,-1.909511505,19.09511505
176,MTOR,PRKACB,-1.909511505,19.09511505
177,PIK3CB,PRKACA,-1.468138824,14.68138824
178,CIT,RPS6KB1,-1.841930343,18.41930343
